dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
har,1,random_cov_state,success,,0.97771269310355,0.9657895027616292,-0.0119231903419206,58810,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,206.53764585079625,2.953258361220731,,
har,1,pca_cov_state,success,,0.97771269310355,0.9661323059507166,-0.0115803871528333,58810,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,154.461961240042,2.9533507388800904,10.0,0.9851602911949158
har,2,random_cov_state,success,,0.9761316446277742,0.9659965376617822,-0.010135106965992,58810,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,156.90864584594965,2.953022999776432,,
har,2,pca_cov_state,success,,0.9761316446277742,0.9650391151439166,-0.0110925294838576,58810,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,155.33474849606864,2.953079810709798,10.0,0.9850813746452332
har,3,random_cov_state,success,,0.9743694041363437,0.9643566351780224,-0.0100127689583211,58810,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,156.22871793597005,2.952822289130125,,
har,3,pca_cov_state,success,,0.9743694041363437,0.9650957573451348,-0.0092736467912087,58810,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,156.81449749600142,2.952864483691702,10.0,0.9851830005645752
handwriting,1,random_cov_state,success,,0.3967018140706504,0.4738458768269913,0.0771440627563408,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,25.1625832549762,0.0003234982522515,,
handwriting,1,pca_cov_state,success,,0.3967018140706504,0.4720537599566664,0.0753519458860159,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,44.296190249035135,0.0003235855563832,6.0,1.0
handwriting,2,random_cov_state,success,,0.3778473976410691,0.4700596233124239,0.0922122256713547,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,13.911942007020116,0.0003199874979795,,
handwriting,2,pca_cov_state,success,,0.3778473976410691,0.4661247132354562,0.0882773155943871,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,10.059354221913964,0.0003197878070021,6.0,0.9999999403953552
